id,slug,name,description,category,categorySlug,neighborhood,district,address,phone,whatsapp,email,website,image,images,rating,reviewCount,featured,active,createdAt,updatedAt
"agente-bcp","agente-bcp","Agente BCP","Entregas en menos de 30 minutos","Agentes bancarios",,,"San Miguel","Santa Mariana 548","+51901426737","+51901426737",,,"https://images.pexels.com/photos/7706434/pexels-photo-7706434.jpeg?auto=compress&cs=tinysrgb&w=400","[""https://images.pexels.com/photos/7706434/pexels-photo-7706434.jpeg?auto=compress&cs=tinysrgb&w=400""]","4.4",,"false","true",,"2025-10-02T05:36:28.179Z"
"anticucheria-angie-corazon","anticucheria-angie-corazon","Anticuchería Angie's Corazón","Nuestros anticuchos son preparados con cariño, aderezo casero y la frescura de los mejores ingredientes. 
🥩 Anticuchos jugosos a la parrilla 
🌽 Con acompañamientos típicos: papa, choclo y salsas artesanales 
🍢 Ambiente familiar y acogedor
 💖 Sabor hecho con corazón","Comida rápida",,"Pando 3ra Etapa",,"Santa Teodiosia 573","+51 990 075 557",,,,"https://res.cloudinary.com/do2rpqupm/image/upload/v1759465696/WhatsApp_Image_2025-10-02_at_10.52.05_PM_aaghbd.jpg","[""https://res.cloudinary.com/do2rpqupm/image/upload/v1759465696/WhatsApp_Image_2025-10-02_at_10.52.05_PM_aaghbd.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1759466603/WhatsApp_Image_2025-10-02_at_10.53.12_PM_ch1akk.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1759466603/WhatsApp_Image_2025-10-02_at_10.53.12_PM_2_slvjnl.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1759466603/WhatsApp_Image_2025-10-02_at_10.53.13_PM_bzqskj.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1759466603/WhatsApp_Image_2025-10-02_at_10.53.11_PM_s7horf.jpg""]","5",,"false","true",,
"anticuchos-bran","anticuchos-bran","Anticuchos Bran ","🔥 Anticuchos Bran 🔥
El sabor criollo que enamora. Disfruta de anticuchos jugosos, al carbón y con el aderezo tradicional que nos distingue, acompañados de papa, choclo y salsas caseras. ¡Ven y prueba el verdadero corazón del Perú en cada bocado! 💖🍢","Restaurantes y menús",,,"San Miguel","Avenida Universitaria 1625","+51 992 280 169",,,,"https://res.cloudinary.com/do2rpqupm/image/upload/v1759034122/images_iw6q9k.jpg","[""https://res.cloudinary.com/do2rpqupm/image/upload/v1759034122/images_iw6q9k.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1759035186/https___cdn.jwplayer.com_v2_media_jYRwFjuR_poster_u9hsgw.avif""]","5",,"false","true",,"2025-10-02T05:36:28.433Z"
"asesor-inmobiliario-julio-rold-n","asesor-inmobiliario-julio-rold-n","Asesor Inmobiliario Julio Roldán","Soy Asesor Inmobiliario en RE/MAX y ayudo a familias e inversionistas que desean comprar, vender o alquilar una propiedad.

Brindo una atención personalizada y confiable, acompañando a mis clientes en cada etapa del proceso: desde la evaluación del inmueble y el análisis del mercado, hasta la negociación y el cierre exitoso.

¡Permíteme ayudarte a cumplir tus objetivos inmobiliarios! 🔑","Inmueble",,"San Isidro",,"Rivera Navarrete 757","+51949248249",,,,"https://res.cloudinary.com/do2rpqupm/image/upload/v1762012404/tubarrio/services/acyfdrlbhaycducfriak.jpg","[""https://res.cloudinary.com/do2rpqupm/image/upload/v1762012404/tubarrio/services/acyfdrlbhaycducfriak.jpg""]","5",,"false","true","2025-11-01T15:50:08.017Z","2025-11-01T15:53:25.093Z"
"bobocha-bubble-tea-shop","bobocha-bubble-tea-shop","Bobocha Bubble Tea Shop","Bobocha Bubble Tea Shop es la cadena de tiendas de Bubble Tea más grande de Perú.","Juguerías y Cafeterías",,,"San Miguel","Av. Universitaria 1795, Lima ","+51 906906906","+51 906906906",,,"https://res.cloudinary.com/do2rpqupm/image/upload/v1760144784/Atmosfera1_wtqjg9.jpg","[""https://res.cloudinary.com/do2rpqupm/image/upload/v1760144784/Atmosfera1_wtqjg9.jpg""]","4.6",,"false","true",,"2025-10-02T05:36:28.570Z"
"boutique-july","boutique-july","Boutique July","👗 Boutique July te ofrece las mejores prendas para toda la familia.
Encuentra ropa moderna, cómoda y de calidad para damas, caballeros y niños, con estilos que se adaptan a cada ocasión.

🛍️ Ofrecemos:
✨ Ropa casual y elegante
👕 Prendas para toda la familia
👗 Novedades en moda y temporada
💸 Excelentes precios y atención personalizada

Visítanos y renueva tu estilo con Boutique July, donde vestir bien es parte de tu día a día.","Tienda de ropa",,"Pando 3ra Etapa",,"Alejandro Bertello 890","+51 978 044 210",,,,,"[]","5",,"false","true",,
"caldo-de-gallina","caldo-de-gallina","Caldo de gallina","El mejor caldo de gallina de la zona ","Restaurantes y menús",,"Pando 3ra Etapa","San Miguel","Santa Mariana 520","+51999555999",,,,"https://res.cloudinary.com/do2rpqupm/image/upload/v1759073572/caldo_gallina_kf30si.webp","[""https://res.cloudinary.com/do2rpqupm/image/upload/v1759073572/caldo_gallina_kf30si.webp""]","4",,"false","true",,"2025-10-02T05:36:28.818Z"
"centro-psicologico-kelly-villafuerte","centro-psicologico-kelly-villafuerte","Centro Psicológico Kelly Villafuerte","Centro Psicológico Kelly Villafuerte es un espacio dedicado al bienestar emocional, con un enfoque humano, ético y profesional. Ofrecemos acompañamiento psicológico especializado en población infantil, adolescente y adulta, priorizando la escucha empática, la atención personalizada y el crecimiento integral de cada persona. Nuestro propósito es brindar un servicio accesible y de calidad, promoviendo la salud mental como parte esencial de la vida.","Servicios Profesionales",,,,"Jiron Crespo y Castillo 2633, Cercado de Lima","+51 920 011 166",,,,"https://res.cloudinary.com/do2rpqupm/image/upload/v1760142188/WhatsApp_Image_2025-10-10_at_6.52.40_PM_fd18as.jpg","[""https://res.cloudinary.com/do2rpqupm/image/upload/v1760142188/WhatsApp_Image_2025-10-10_at_6.52.40_PM_fd18as.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1760142188/WhatsApp_Image_2025-10-10_at_6.52.41_PM_2_fuwzlc.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1760142188/WhatsApp_Image_2025-10-10_at_6.52.41_PM_jdyylf.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1760142188/WhatsApp_Image_2025-10-10_at_6.52.41_PM_3_jhndc0.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1760142188/WhatsApp_Image_2025-10-10_at_6.52.41_PM_1_ucgysg.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1760142188/WhatsApp_Image_2025-10-10_at_6.52.40_PM_1_x589no.jpg""]","4.8",,"false","true",,
"creciendo-digital","creciendo-digital","Creciendo Digital","Creciendo Digital es una empresa dedicada a impulsar a pequeños emprendedores y minipymes en su transformación digital, ofreciéndoles soluciones accesibles, prácticas y adaptadas a sus necesidades. Nuestro objetivo es que cualquier negocio, sin importar su tamaño, pueda ganar visibilidad, atraer clientes y gestionar mejor sus operaciones.","Servicios",,"Pando 3ra etapa","San Miguel","Santa Paula 471","+51 901 426 737","+51 901 426 737",,,"/uploads/services/1756138364114-tuvhlwm16y8.png","[""/uploads/services/1756138364114-tuvhlwm16y8.png""]","5",,"false","true",,"2025-10-02T05:36:29.339Z"
"dra-fiorella-herrera","dra-fiorella-herrera","Dra. Fiorella Herrera","Dra. Fiorella Herrera - Odontología integral

""Somos un consultorio dental en Pueblo Libre, dedicado a ofrecer atención integral y personalizada. Nuestra prioridad es tu bienestar, por eso combinamos experiencia, tecnología y un trato humano para que disfrutes de una sonrisa sana y segura.""","Servicios Profesionales",,,,"Av. Sucre 110, dpto 201 - pueblo libre ","+51 970 694 325",,,,"https://res.cloudinary.com/do2rpqupm/image/upload/v1759529827/WhatsApp_Image_2025-10-03_at_4.52.51_PM_u1bhu4.jpg","[""https://res.cloudinary.com/do2rpqupm/image/upload/v1759529827/WhatsApp_Image_2025-10-03_at_4.52.51_PM_u1bhu4.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1759529974/WhatsApp_Image_2025-10-03_at_4.44.51_PM_3_oqqaws.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1759529974/WhatsApp_Image_2025-10-03_at_4.44.51_PM_2_nnqguy.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1759529975/WhatsApp_Image_2025-10-03_at_4.44.51_PM_1_liqsek.jpg"",""https://res.cloudinary.com/do2rpqupm/image/upload/v1759529975/WhatsApp_Image_2025-10-03_at_4.44.51_PM_mvgb4t.jpg""]","4.5",,"false","true",,
